대여소번호,대여소명,자치구,주소,위도,경도,설치시기,LCD,QR,운영방식
4901.0,KT&G타워 옆(상상마당 대치아트홀),강남구,강남구 대치동 1002,37.50687408,127.06473541,2022-04-13 00:00:00,0,6,QR
4902.0, 구역삼세무서 교차로,강남구,강남구 논현로 337,37.49524307,127.03937531,2022-03-15 00:00:00,0,6,QR
4903.0, 신사스퀘어,강남구,신사동 504-11,37.51916885,127.0189743,2022-05-18 00:00:00,0,6,QR
4905.0, 강남경찰서,강남구,강남구 대치동 998,37.50971985,127.06679535,2022-06-08 00:00:00,0,10,QR
4906.0, 섬유센터 앞,강남구,강남구 대치동 944-1,37.50767136,127.06017303,2022-06-07 00:00:00,0,10,QR
4907.0, 극동스포츠 앞,강남구,강남구 신사동 575,37.5257225,127.02588654,2022-06-07 00:00:00,0,5,QR
4908.0, SB타워 앞,강남구,강남구 도산대로 318,37.52210999,127.03646088,2022-07-06 00:00:00,0,5,QR
4909.0, 노보텔 앰배서더 앞,강남구,강남구 봉은사로 130,37.50570297,127.02919769,2022-07-19 00:00:00,0,6,QR
4911.0, 도곡동 골프 로데오거리,강남구,강남구 도곡로 149,37.49107361,127.03619385,2022-07-19 00:00:00,0,6,QR
4913.0, 레베쌍트 빌딩 앞,강남구,봉은사로86길 6,37.51292038,127.056427,2022-07-27 00:00:00,0,7,QR
4914.0, 도심공항타워 앞,강남구,삼성동 159-9,37.50999069,127.05847168,2022-07-27 00:00:00,0,6,QR
4915.0, 영동중앙교회 버스정류장,강남구,강남구 논현로 420,37.49775314,127.03857422,2022-07-29 00:00:00,0,6,QR
4916.0, 청담역 1번출구,강남구,강남구 영동대로 648,37.51973724,127.05767822,2022-10-20 00:00:00,0,5,QR
4917.0,일원에코파크 주차장,강남구,강남구 일원동 701-2,37.49404526,127.08678436,2022-12-02 00:00:00,0,5,QR
4918.0,매봉역 1번출구,강남구,강남구 도곡동 180-26,37.48661041,127.04550934,2022-12-09 00:00:00,0,5,QR
4919.0,학여울역사거리(은마아파트),강남구,강남구 대치동 398,37.49665833,127.06938171,2022-12-01 00:00:00,0,6,QR
4923.0,수협대치동지점,강남구,서울특별시 강남구 영동대로 214-2,37.49861526,127.0683136,2023-01-12 00:00:00,0,9,QR
4924.0,논현동가구거리,강남구,강남구 논현동 56-21,37.51280975,127.02636719,2023-01-17 00:00:00,0,8,QR
4926.0,대치우성아파트 사거리,강남구,강남구 영동대로 230,37.50099564,127.06803894,2023-07-07 00:00:00,0,10,QR
4925.0,청담백영빌딩 앞,강남구,강남구 도산대로 456,37.52390289,127.04660797,2023-07-07 00:00:00,0,7,QR
4928.0,교수마을 입구,강남구,강남구 자곡동 203-1,37.4818573,127.10456085,2023-07-10 00:00:00,0,10,QR
4929.0,파스쿠찌 청담사거리점 앞,강남구,강남구 도산대로 509,37.52464676,127.04914856,2023-07-20 00:00:00,0,6,QR
4930.0,학여울역 1번 출구,강남구,강남구 대치동 13-9,37.49662018,127.07099915,2023-10-04 00:00:00,0,10,QR
