station_id,mapped_dong_code,mapped_dong_name,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,morning_net_inflow,evening_net_inflow,subway_distance_m,bus_stop_count_300m,life_pop_7_10_mean,life_pop_11_14_mean,life_pop_17_20_mean
2350,11680650,역삼2동,0.1406212376595232,0.1719239104261979,0.3190464724295689,-196.0,199.0,465.6215593980464,32,58832.34507924077,63507.11466898085,51546.29168211355
2351,11680720,일원본동,0.1537744641192917,0.1509785647716682,0.3825722273998136,-502.0,-55.0,409.7781665443803,24,26030.51044035568,24286.366290218877,20233.524569528046
2352,11680531,논현2동,0.279585798816568,0.2642998027613412,0.2179487179487179,-210.0,-1332.0,477.5023720879165,20,48771.59621426129,62230.2112386115,48357.27645215458
2353,11680531,논현2동,0.0941089292330492,0.1948869951834012,0.3566753118438928,-2184.0,-310.0,80.10290388777916,36,48771.59621426129,62230.2112386115,48357.27645215458
2354,11680580,삼성1동,0.1178731582319026,0.1531069827033952,0.3763613068545804,-325.0,473.0,304.61175833064755,28,44052.2044621751,68106.46228580711,46531.80653272913
2356,11680590,삼성2동,0.1241267262388302,0.2625507717303005,0.2818846466287571,-996.0,-399.0,526.6025037772324,8,43883.83807841997,47708.349203659374,38582.2189622435
2357,11680650,역삼2동,0.2939781887150308,0.20791844476055,0.2302038880986249,572.0,-271.0,545.5534931457897,32,58832.34507924077,63507.11466898085,51546.29168211355
2358,11680660,개포1동,0.131808579039221,0.1354826857720217,0.3460090015614954,-1608.0,687.0,746.8672725633135,40,16192.291096272227,13926.620198700411,13720.607396203832
2359,11680690,개포4동,0.1738481069374953,0.1438279441415876,0.3124486595474572,-878.0,488.0,1224.2015034746055,36,16659.15076863885,15720.087848119014,14737.072746306429
2360,11680650,역삼2동,0.2343250553233341,0.1968691090894189,0.2544053766084747,84.0,-321.0,806.3449231239393,32,58832.34507924077,63507.11466898085,51546.29168211355
2362,11680510,신사동,0.1094071441930054,0.218253226108098,0.3309332335889283,-11.0,446.0,252.0057639158714,16,34711.2626499658,47294.58111371408,44266.38985273598
2363,11680521,논현1동,0.2093709043250327,0.1972477064220183,0.2234600262123197,440.0,-445.0,656.5945688116032,20,43807.05390064979,51912.863196648424,45663.3832001026
2364,11680545,압구정동,0.2586764388876913,0.2001508945893511,0.2140547531795645,1037.0,-1410.0,715.8232221238064,28,40653.44209463064,53924.654357660744,48026.726367510266
2365,11680545,압구정동,0.158109875735775,0.1926095487246566,0.2383093525179856,1203.0,-520.0,488.7472821092144,28,40653.44209463064,53924.654357660744,48026.726367510266
2368,11680655,도곡1동,0.135856992639327,0.2424815983175604,0.3055730809674027,-719.0,-546.0,551.2932724174635,16,39281.57394435705,39291.80882322161,35228.0752125855
2369,11680630,대치4동,0.2105476180839438,0.2101428744890112,0.2642975674909945,684.0,807.0,364.1540634452012,36,39589.97909316005,50739.38959329685,50623.27934124487
2370,11680600,대치1동,0.1939360067067207,0.1896045829258069,0.3191281263099064,-25.0,133.0,130.5227810191877,36,27048.917656600548,28649.684428112178,33072.03014121067
2371,11680531,논현2동,0.1903476206547418,0.1977725278434019,0.2699966250421869,-451.0,-1167.0,312.07670732911333,28,48771.59621426129,62230.2112386115,48357.27645215458
2372,11680610,대치2동,0.1696576685266174,0.2184185391846378,0.2894988186799376,376.0,424.0,18.55501612903316,32,54042.53933621752,64417.24090506156,55294.00449155267
2373,11680670,개포2동,0.1278439869989165,0.2387143373058866,0.3055254604550379,-545.0,94.0,52.99182799044995,28,33161.69160892613,29830.0458876197,29875.256968433652
2375,11680750,수서동,0.3204005882764899,0.1564535331605854,0.2355206947265214,3740.0,-1246.0,39.78317144234957,52,25623.445430950753,26558.29152739398,23695.385420314637
2376,11680750,수서동,0.3293081761006289,0.1714046121593291,0.2246540880503144,2548.0,-1985.0,106.56735714777216,52,25623.445430950753,26558.29152739398,23695.385420314637
2377,11680750,수서동,0.3669500610835473,0.1575955521204717,0.2204991398439253,10143.0,-3075.0,37.046495328444145,64,25623.445430950753,26558.29152739398,23695.385420314637
2380,11680590,삼성2동,0.2052176159111455,0.1523957122562314,0.2182616556890094,-110.0,-234.0,376.6322208032294,20,43883.83807841997,47708.349203659374,38582.2189622435
2381,11680640,역삼1동,0.1460254464806817,0.1677366639430372,0.2898330804248862,-480.0,336.0,117.51405591928238,36,112062.8253233242,150148.66741761286,117683.77599746925
2382,11680650,역삼2동,0.1360314170393803,0.1757390640340351,0.3369695647431002,11.0,97.0,389.68988849129255,32,58832.34507924077,63507.11466898085,51546.29168211355
2383,11680700,세곡동,0.2235191637630662,0.1529616724738676,0.2343205574912892,-123.0,259.0,2140.420978538258,36,46016.29151874145,40696.17679541724,42582.81225133379
2384,11680700,세곡동,0.0930437434350964,0.1275031342120421,0.4220512994273709,-6238.0,5340.0,1211.79104569624,32,46016.29151874145,40696.17679541724,42582.81225133379
2385,11680521,논현1동,0.1181535269709543,0.191597510373444,0.3149377593360996,-1115.0,469.0,136.27778444397282,20,43807.05390064979,51912.863196648424,45663.3832001026
2386,11680531,논현2동,0.1576967592592592,0.1814236111111111,0.2838541666666667,-578.0,-603.0,275.5574768692353,32,48771.59621426129,62230.2112386115,48357.27645215458
2387,11680700,세곡동,0.1453457680802393,0.1705085342248812,0.354448941286879,-918.0,1594.0,1619.261288941875,12,46016.29151874145,40696.17679541724,42582.81225133379
2388,11680580,삼성1동,0.1987102937664198,0.1755433484595175,0.3080964891330308,-2743.0,-1279.0,325.2626696590125,24,44052.2044621751,68106.46228580711,46531.80653272913
2389,11680670,개포2동,0.1394611727416798,0.1557527733755943,0.3150554675118859,-2582.0,1574.0,342.63816251642027,40,33161.69160892613,29830.0458876197,29875.256968433652
2390,11680670,개포2동,0.1308516063233044,0.1110657827638959,0.3741968383477817,-1332.0,1542.0,758.5163722276855,28,33161.69160892613,29830.0458876197,29875.256968433652
2391,11680660,개포1동,0.1607142857142857,0.2142857142857142,0.2767857142857143,-53.0,-53.0,1208.6450961493945,20,16192.291096272227,13926.620198700411,13720.607396203832
2392,11680690,개포4동,0.1470588235294117,0.1601307189542483,0.3186274509803921,-397.0,-402.0,1407.5934896954195,20,16659.15076863885,15720.087848119014,14737.072746306429
2394,11680690,개포4동,0.0842190729258931,0.1212725125479775,0.4293622674933569,-4005.0,1910.0,840.2215761656321,44,16659.15076863885,15720.087848119014,14737.072746306429
2396,11680656,도곡2동,0.1242524105944098,0.1963871597705358,0.3322348346149151,-461.0,171.0,400.69332707356256,16,30059.92420273598,30812.346695554035,27148.728534678525
2398,11680640,역삼1동,0.255367231638418,0.1561581920903954,0.2083615819209039,-477.0,-424.0,469.06607780223993,20,112062.8253233242,150148.66741761286,117683.77599746925
2401,11680720,일원본동,0.2049252418645558,0.1808853708589856,0.2541776605101143,-279.0,-780.0,354.28387986928414,44,26030.51044035568,24286.366290218877,20233.524569528046
2403,11680670,개포2동,0.0841600713409876,0.1462490246349347,0.3755434176791885,-3853.0,2021.0,335.84292860270557,27,33161.69160892613,29830.0458876197,29875.256968433652
2404,11680740,일원2동(현 개포3동),0.1435818403647338,0.1422333525974443,0.3287099467026263,-3315.0,1910.0,62.08504272340149,24,18222.674700478794,16404.544954240766,16417.981814261286
2405,11680580,삼성1동,0.0605893693197466,0.1086477554392729,0.4988983751032773,-8110.0,-119.0,232.17342928824493,28,44052.2044621751,68106.46228580711,46531.80653272913
2406,11680521,논현1동,0.1705016106764841,0.2630004601932811,0.2820984813621721,262.0,-504.0,340.3021643837825,16,43807.05390064979,51912.863196648424,45663.3832001026
2407,11680640,역삼1동,0.1844794421735994,0.2230103390238038,0.295684058667949,386.0,526.0,201.39988933613105,44,112062.8253233242,150148.66741761286,117683.77599746925
2408,11680700,세곡동,0.100901916572717,0.1412626832018038,0.3926719278466742,-1608.0,961.0,1149.887472228028,16,46016.29151874145,40696.17679541724,42582.81225133379
2409,11680640,역삼1동,0.1831702855324902,0.1795911874652032,0.3160741270977491,182.0,-741.0,579.9208775630715,48,112062.8253233242,150148.66741761286,117683.77599746925
2410,11680640,역삼1동,0.2700353424395835,0.2353615436049288,0.226955774190467,-348.0,-1294.0,264.2155616894363,16,112062.8253233242,150148.66741761286,117683.77599746925
2411,11680700,세곡동,0.1387096774193548,0.1626852659110723,0.3581517000871839,-1341.0,1019.0,1297.571984084612,0,46016.29151874145,40696.17679541724,42582.81225133379
2413,11680656,도곡2동,0.2077941543842118,0.1699725206095428,0.3311016737446914,647.0,188.0,34.37292524829955,32,30059.92420273598,30812.346695554035,27148.728534678525
2414,11680656,도곡2동,0.3021354570441891,0.2221086757347241,0.2211924730424977,4161.0,-1432.0,386.457423869868,36,30059.92420273598,30812.346695554035,27148.728534678525
2415,11680630,대치4동,0.1174890083048363,0.2290180752320469,0.3359062042012701,-423.0,348.0,68.99004964708885,32,39589.97909316005,50739.38959329685,50623.27934124487
2416,11680656,도곡2동,0.1473096767400231,0.1896388333157839,0.3571654206591555,-307.0,483.0,70.80278788774854,32,30059.92420273598,30812.346695554035,27148.728534678525
2417,11680640,역삼1동,0.1785168195718654,0.1548165137614678,0.2895642201834862,-715.0,187.0,278.2888150017223,20,112062.8253233242,150148.66741761286,117683.77599746925
2418,11680580,삼성1동,0.1392555242473676,0.1961293192940827,0.4074595877205991,-683.0,2477.0,48.867540239301896,44,44052.2044621751,68106.46228580711,46531.80653272913
2419,11680580,삼성1동,0.1647810218978102,0.1788321167883211,0.3057481751824817,-648.0,442.0,49.097248209026425,44,44052.2044621751,68106.46228580711,46531.80653272913
2420,11680610,대치2동,0.1074252053945124,0.1426135482870872,0.4454348163075492,-3545.0,2516.0,47.85274275953258,28,54042.53933621752,64417.24090506156,55294.00449155267
2421,11680640,역삼1동,0.0871864406779661,0.1943050847457627,0.448271186440678,-1325.0,838.0,65.3677739534909,64,112062.8253233242,150148.66741761286,117683.77599746925
2422,11680750,수서동,0.1908453608247422,0.1562886597938144,0.3261855670103092,-47.0,1109.0,644.8334926931101,32,25623.445430950753,26558.29152739398,23695.385420314637
2423,11680740,일원2동(현 개포3동),0.1070447654717317,0.1814874264312466,0.3166755840913144,-2306.0,2194.0,313.58422587226244,52,18222.674700478794,16404.544954240766,16417.981814261286
2425,11680700,세곡동,0.1914548404542996,0.1700919415900486,0.2577068685776095,233.0,189.0,1894.925813281008,36,46016.29151874145,40696.17679541724,42582.81225133379
2426,11680700,세곡동,0.0851347744862556,0.1272128814162441,0.3613557512676808,-4559.0,2124.0,1968.5427119670348,20,46016.29151874145,40696.17679541724,42582.81225133379
2427,11680670,개포2동,0.1674538072748363,0.1632281050625569,0.2919048802717706,-948.0,392.0,225.0426847689185,32,33161.69160892613,29830.0458876197,29875.256968433652
2430,11680640,역삼1동,0.1974954343855987,0.2531959300808766,0.2645447430211323,-1456.0,-308.0,54.83847827808243,36,112062.8253233242,150148.66741761286,117683.77599746925
2431,11680600,대치1동,0.1662680972078593,0.2070514477766287,0.2874224405377456,125.0,426.0,85.17955215059632,32,27048.917656600548,28649.684428112178,33072.03014121067
3602,11680730,일원1동,0.4888593622240392,0.1201962387571545,0.1935813573180703,2324.0,-1414.0,823.5464595047393,0,15228.157974316004,14695.19305475376,14142.947929582764
3604,11680580,삼성1동,0.2650898479496237,0.1557364460144371,0.3345108278298264,-1056.0,625.0,51.57642929301604,16,44052.2044621751,68106.46228580711,46531.80653272913
3606,11680510,신사동,0.2077957477739415,0.1967108849718335,0.288933309104125,1276.0,182.0,587.2864302362686,24,34711.2626499658,47294.58111371408,44266.38985273598
