weight_lightgbm,weight_xgboost,weight_random_forest,rmse,mae,r2,exact_match_hits_rounded,exact_match_rate_rounded,bucket_accuracy_0_1_2_3plus,n_samples
0.3,0.4,0.3,0.9110696206473269,0.6327391369588974,0.27698104639639864,4717,0.5369990892531876,0.5448542805100182,8784
0.3,0.45,0.25,0.9117394033151655,0.6325596855711885,0.27591758525316135,4711,0.536316029143898,0.543943533697632,8784
0.3,0.5,0.2,0.9126081147061538,0.6324776979441702,0.27453710678311294,4713,0.5365437158469946,0.5441712204007286,8784
0.3,0.55,0.15,0.913675187403348,0.6325306193852024,0.2728396109862532,4726,0.538023679417122,0.5456511839708561,8784
0.3,0.6,0.1,0.9149399273747769,0.6327404601134554,0.2708250978625827,4739,0.5395036429872495,0.5472449908925319,8784
0.3,0.65,0.05,0.9164015162097767,0.6331000190526981,0.26849356741210084,4734,0.5389344262295082,0.5466757741347905,8784
0.3,0.7,0.0,0.9180590137336432,0.6335679293329631,0.2658450196348079,4738,0.5393897996357013,0.5474726775956285,8784
0.35,0.0,0.65,0.9122670550832664,0.6368803918845457,0.2750792449972924,4668,0.5314207650273224,0.5393897996357013,8784
0.35,0.05,0.6,0.9114894571897011,0.6359595290894302,0.2763145337366658,4688,0.5336976320582878,0.5415528233151184,8784
0.35,0.1,0.55,0.9109109873772809,0.6351179570400693,0.2772328051492281,4691,0.5340391621129326,0.5420081967213115,8784
0.35,0.15,0.5,0.9105320251700795,0.6343922909350274,0.27783405923497917,4701,0.5351775956284153,0.5430327868852459,8784
0.35,0.2,0.45,0.9103528197215605,0.633732755493978,0.27811829599391924,4704,0.5355191256830601,0.5430327868852459,8784
0.35,0.25,0.4,0.9103734889970501,0.6331662188708264,0.2780855154260482,4719,0.5372267759562842,0.5449681238615665,8784
0.35,0.3,0.35,0.9105940193858757,0.6327181846921733,0.27773571753136594,4718,0.5371129326047359,0.5448542805100182,8784
0.35,0.35,0.3,0.9110142657461427,0.6324202690731738,0.2770689023098727,4730,0.5384790528233151,0.5463342440801457,8784
0.35,0.4,0.25,0.911633951881806,0.6322346058912487,0.2760850697615682,4713,0.5365437158469946,0.5443989071038251,8784
0.35,0.45,0.2,0.912452671448383,0.6321388512969968,0.27478421988645263,4711,0.536316029143898,0.5441712204007286,8784
0.35,0.5,0.15,0.913469889280396,0.6321579544395429,0.27316635268452605,4728,0.5382513661202186,0.5461065573770492,8784
0.35,0.55,0.1,0.9146849431304659,0.6323503049331834,0.27123146815578836,4733,0.53882058287796,0.5465619307832422,8784
0.35,0.6,0.05,0.916097045806952,0.6326817684438404,0.26897956630023945,4728,0.5382513661202186,0.5458788706739527,8784
0.35,0.65,0.0,0.9177052876941824,0.6331145850793,0.26641064711787954,4730,0.5384790528233151,0.5463342440801457,8784
0.4,0.0,0.6,0.9118569603758135,0.6358422095327275,0.2757308510006683,4689,0.5338114754098361,0.5417805100182149,8784
0.4,0.05,0.55,0.9112285643471237,0.6349754913446003,0.2767287510081634,4695,0.5344945355191257,0.5423497267759563,8784
0.4,0.1,0.5,0.9107995511403258,0.6342014377399408,0.2774096336888475,4704,0.5355191256830601,0.5431466302367942,8784
0.4,0.15,0.45,0.9105702025718359,0.6335306923663261,0.27777349904272064,4711,0.536316029143898,0.543943533697632,8784
0.4,0.2,0.4,0.9105406695172961,0.6329531989570736,0.27782034706978254,4713,0.5365437158469946,0.5442850637522769,8784
0.4,0.25,0.35,0.9107109714159008,0.6324815687997738,0.2775501777700332,4720,0.5373406193078324,0.545195810564663,8784
0.4,0.3,0.3,0.9110809962064723,0.632155033604518,0.2769629911434729,4719,0.5372267759562842,0.5449681238615665,8784
0.4,0.35,0.25,0.9116505006957759,0.6319494819090097,0.27605878719010146,4724,0.5377959927140255,0.5456511839708561,8784
0.4,0.4,0.2,0.9124191113562541,0.63183683638642,0.2748375659099187,4718,0.5371129326047359,0.5449681238615665,8784
0.4,0.45,0.15,0.9133863255470874,0.6318361203095231,0.27329932730292505,4722,0.537568306010929,0.5455373406193078,8784
0.4,0.5,0.1,0.9145515131493032,0.6320071526056166,0.2714440713691203,4736,0.5391621129326047,0.5470173041894353,8784
