station_id,station_name,target,feature_set,alpha,split,rmse,mae,r2
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_season,0.001,train,1.797813283129762,1.252357932562523,0.5026195491360692
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_season,0.001,valid,1.8440330875298092,1.2842303045480576,0.5387490785740505
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_season,0.001,test,1.8920945671020117,1.2819005610811744,0.5554680610749114
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_quarter,100.0,train,1.7977609300289006,1.2488776243414128,0.502648516582261
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_quarter,100.0,valid,1.8444905293252405,1.2864890448657618,0.5385202089062985
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_quarter,100.0,test,1.8944055131149227,1.2804378077533884,0.554381522717367
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_rush_hour,10.0,train,1.7946450086445036,1.2501012079038023,0.5043710650053106
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_rush_hour,10.0,valid,1.839669027743076,1.2806749259711274,0.5409296736307498
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_rush_hour,10.0,test,1.8845714081512142,1.2790904696071295,0.558996041004731
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_month_day_type,1000.0,train,1.7856787811413457,1.2436718730269773,0.5093111179140298
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_month_day_type,1000.0,valid,1.846726948468741,1.2843516686798127,0.5374004548026194
2335, 3호선 매봉역 3번출구앞,return_count,baseline_plus_month_day_type,1000.0,test,1.922185601242679,1.2955672638414921,0.5412163504457029
2335, 3호선 매봉역 3번출구앞,return_count,all_extended,1000.0,train,1.7797473759575737,1.2449643056974016,0.5125655002993517
2335, 3호선 매봉역 3번출구앞,return_count,all_extended,1000.0,valid,1.842491124578043,1.288823601656693,0.5395201433390628
2335, 3호선 매봉역 3번출구앞,return_count,all_extended,1000.0,test,1.8966845431843011,1.2905685858983869,0.5533086913848762
2377, 수서역 5번출구,rental_count,baseline,0.001,train,1.8648419595495997,1.306090291344514,0.4149957376480533
2377, 수서역 5번출구,rental_count,baseline,0.001,valid,1.8681506497146774,1.2470450297325781,0.45171039934062107
2377, 수서역 5번출구,rental_count,baseline,0.001,test,1.855235034916875,1.247143456337814,0.41545505529703686
2377, 수서역 5번출구,rental_count,baseline_plus_weekday,0.001,train,1.8587538970790602,1.3031433067572615,0.41880917489487224
2377, 수서역 5번출구,rental_count,baseline_plus_weekday,0.001,valid,1.8538292952593804,1.2415149026083068,0.46008461884882423
2377, 수서역 5번출구,rental_count,baseline_plus_weekday,0.001,test,1.848473636139139,1.2446734284977048,0.41970803591867956
2377, 수서역 5번출구,rental_count,baseline_plus_season,0.001,train,1.859174238467772,1.3041231823869588,0.41854628244640335
2377, 수서역 5번출구,rental_count,baseline_plus_season,0.001,valid,1.8612724601142836,1.2608765461987013,0.45574037125063827
2377, 수서역 5번출구,rental_count,baseline_plus_season,0.001,test,1.8524015647538392,1.2644645028632042,0.4172392236808653
2377, 수서역 5번출구,rental_count,baseline_plus_quarter,1000.0,train,1.869038940361329,1.3121601678933528,0.4123595737365918
2377, 수서역 5번출구,rental_count,baseline_plus_quarter,1000.0,valid,1.8696939817291849,1.2502147479862058,0.45080411009036936
2377, 수서역 5번출구,rental_count,baseline_plus_quarter,1000.0,test,1.8669886286589443,1.2551031402946318,0.40802498066622495
2377, 수서역 5번출구,rental_count,baseline_plus_rush_hour,10.0,train,1.86349933986737,1.305510762552078,0.4158377988093721
2377, 수서역 5번출구,rental_count,baseline_plus_rush_hour,10.0,valid,1.8706931690783946,1.2459092113086476,0.45021695923033855
2377, 수서역 5번출구,rental_count,baseline_plus_rush_hour,10.0,test,1.8561486341342037,1.2452762484850677,0.41487920233366715
2377, 수서역 5번출구,rental_count,baseline_plus_month_day_type,100.0,train,1.8342001982332186,1.2881832416525705,0.43406254470768135
2377, 수서역 5번출구,rental_count,baseline_plus_month_day_type,100.0,valid,1.8263841102068372,1.247563339946723,0.4759527355034243
2377, 수서역 5번출구,rental_count,baseline_plus_month_day_type,100.0,test,1.8944331602245086,1.2955727898380929,0.39049312473108244
2377, 수서역 5번출구,rental_count,all_extended,100.0,train,1.8273029906984593,1.2846177100639236,0.43831077133074514
2377, 수서역 5번출구,rental_count,all_extended,100.0,valid,1.8365400503080829,1.2479838872288274,0.4701084116207004
2377, 수서역 5번출구,rental_count,all_extended,100.0,test,1.8847072444268853,1.2875206674209956,0.3967354093634099
2377, 수서역 5번출구,return_count,baseline,0.001,train,2.2265259421853365,1.534329717759997,0.5561659808970147
2377, 수서역 5번출구,return_count,baseline,0.001,valid,2.0870989057265694,1.4491422010033936,0.5775437306498878
2377, 수서역 5번출구,return_count,baseline,0.001,test,2.013346701739382,1.4051754844743025,0.4957434563017994
2377, 수서역 5번출구,return_count,baseline_plus_weekday,0.001,train,2.2104890576542333,1.5239894813681905,0.5625365167891515
2377, 수서역 5번출구,return_count,baseline_plus_weekday,0.001,valid,2.0687317702522763,1.4372752040650998,0.5849465128590489
2377, 수서역 5번출구,return_count,baseline_plus_weekday,0.001,test,2.0038200328818263,1.4044263384303766,0.500504205850427
2377, 수서역 5번출구,return_count,baseline_plus_season,0.001,train,2.2240795878255155,1.5343624605906239,0.557140753999193
2377, 수서역 5번출구,return_count,baseline_plus_season,0.001,valid,2.0911099308961436,1.4581691765464564,0.5759184018560924
2377, 수서역 5번출구,return_count,baseline_plus_season,0.001,test,2.0131601916285877,1.4196698615717667,0.49583687745728466
2377, 수서역 5번출구,return_count,baseline_plus_quarter,10.0,train,2.2265670557263864,1.5345080354748724,0.556149589660522
2377, 수서역 5번출구,return_count,baseline_plus_quarter,10.0,valid,2.087732782258129,1.4482654041847232,0.5772870817879064
2377, 수서역 5번출구,return_count,baseline_plus_quarter,10.0,test,2.0126173159512293,1.402518311844101,0.49610874950664374
2377, 수서역 5번출구,return_count,baseline_plus_rush_hour,0.1,train,2.221337949551312,1.530881732411872,0.5582319123497661
2377, 수서역 5번출구,return_count,baseline_plus_rush_hour,0.1,valid,2.0868879012734944,1.4513001911903345,0.5776291464850546
2377, 수서역 5번출구,return_count,baseline_plus_rush_hour,0.1,test,2.0168650186662305,1.4081765791249272,0.4939795430337347
2377, 수서역 5번출구,return_count,baseline_plus_month_day_type,100.0,train,2.184394321856817,1.513768729388473,0.5728040313454366
2377, 수서역 5번출구,return_count,baseline_plus_month_day_type,100.0,valid,2.034336396078775,1.4421663730565477,0.5986333931646315
2377, 수서역 5번출구,return_count,baseline_plus_month_day_type,100.0,test,2.082955077119023,1.479002055840192,0.4602729122869953
2377, 수서역 5번출구,return_count,all_extended,100.0,train,2.1681943899322356,1.5037618261638697,0.579116887430173
2377, 수서역 5번출구,return_count,all_extended,100.0,valid,2.043424425216809,1.4422850096705893,0.5950393179751748
2377, 수서역 5번출구,return_count,all_extended,100.0,test,2.0627935111616833,1.4643093647999723,0.4706707163670496
2384, 자곡사거리,rental_count,baseline,0.001,train,1.7553078589883062,1.2306590328447953,0.4327032810399457
2384, 자곡사거리,rental_count,baseline,0.001,valid,1.7618280541402698,1.2285768511383695,0.48781845628474374
2384, 자곡사거리,rental_count,baseline,0.001,test,1.4937115117516477,1.0597700261876708,0.4551498379407888
2384, 자곡사거리,rental_count,baseline_plus_weekday,0.001,train,1.7471923550889559,1.2245671857634115,0.4379368426181284
2384, 자곡사거리,rental_count,baseline_plus_weekday,0.001,valid,1.7466362007832006,1.2160926894444233,0.4966132305786104
2384, 자곡사거리,rental_count,baseline_plus_weekday,0.001,test,1.479981793084507,1.0524619982148375,0.4651199821877464
2384, 자곡사거리,rental_count,baseline_plus_season,0.001,train,1.753332951414896,1.2292314289477304,0.43397910091367675
2384, 자곡사거리,rental_count,baseline_plus_season,0.001,valid,1.7669407106974515,1.2343666979708812,0.48484153944285746
2384, 자곡사거리,rental_count,baseline_plus_season,0.001,test,1.4948700092045595,1.0594964471783759,0.4543043570069526
