cluster,cluster_name,best_model,feature,importance_mean,importance_std
2,주거 도착형,lightgbm_regularized,bike_change_lag_24,0.01846094622072847,0.003528270092874597
2,주거 도착형,lightgbm_regularized,bike_change_rollstd_24,0.013214004621828646,0.0003420670851305152
2,주거 도착형,lightgbm_regularized,lat,0.009284805470746282,0.0010010318506606941
2,주거 도착형,lightgbm_regularized,is_weekend_or_holiday,0.009017753056814848,0.0001071011122314447
2,주거 도착형,lightgbm_regularized,hour_cos,0.0088034981164965,0.000331808764356345
2,주거 도착형,lightgbm_regularized,bike_change_rollstd_168,0.008291012696201028,0.00015066736303670503
2,주거 도착형,lightgbm_regularized,lon,0.006852588791288139,0.0019034731726838006
2,주거 도착형,lightgbm_regularized,rental_count_lag_1,0.00556963726796611,0.002968408490210628
2,주거 도착형,lightgbm_regularized,bike_change_rollmean_168,0.00490986430986029,0.0018586665699843463
2,주거 도착형,lightgbm_regularized,return_count_lag_1,0.004380596233433343,0.0005715040445104513
2,주거 도착형,lightgbm_regularized,bike_change_rollmean_24,0.0038389487995366123,2.7565252638583893e-05
2,주거 도착형,lightgbm_regularized,precipitation,0.003756556201610861,0.0008248220110829152
2,주거 도착형,lightgbm_regularized,station_id,0.0033677091871204823,0.0007621738493870378
2,주거 도착형,lightgbm_regularized,temperature,0.002369434671563364,0.00011544166246413301
2,주거 도착형,lightgbm_regularized,is_commute_hour,0.002320419827886555,0.0011333337484356054
2,주거 도착형,lightgbm_regularized,wind_speed,0.0021963121708553635,0.00030862441258039386
2,주거 도착형,lightgbm_regularized,rental_count_lag_24,0.0017234868006463788,0.000459526672681676
2,주거 도착형,lightgbm_regularized,bike_change_lag_2,0.001637162960013816,0.00043570931892800147
2,주거 도착형,lightgbm_regularized,bike_index_rollmean_24,0.001477172823221795,0.00012525172186539368
2,주거 도착형,lightgbm_regularized,bike_count_index_lag_24,0.0011603586560775536,0.0001477211563580827
2,주거 도착형,lightgbm_regularized,lcd_count,0.0009744478053598238,9.580564954203563e-05
2,주거 도착형,lightgbm_regularized,bike_count_index_lag_168,0.00096450813807758,0.00024112284362010072
2,주거 도착형,lightgbm_regularized,month_cos,0.0009337854463992157,1.5097641102745918e-05
2,주거 도착형,lightgbm_regularized,day,0.0005781775437450065,0.00017150170692237232
2,주거 도착형,lightgbm_regularized,is_lunch_hour,0.0003122240011927957,0.00030525808498049756
2,주거 도착형,lightgbm_regularized,dayofyear,0.00025562032306414295,0.00010473698819990496
2,주거 도착형,lightgbm_regularized,is_rainy,0.00020144652842379873,0.00012809257654489148
2,주거 도착형,lightgbm_regularized,is_night_hour,0.00017655532126137352,4.993624836213684e-05
2,주거 도착형,lightgbm_regularized,is_holiday,0.0001218911337725892,1.0188925804621718e-05
2,주거 도착형,lightgbm_regularized,is_weekend,2.7249390682992924e-05,4.5794493030770766e-05
2,주거 도착형,lightgbm_regularized,is_qr_mixed,4.225604405272421e-06,3.850961496332239e-05
2,주거 도착형,lightgbm_regularized,heavy_rain,0.0,0.0
2,주거 도착형,lightgbm_regularized,rain_x_night,0.0,0.0
2,주거 도착형,lightgbm_regularized,year,0.0,0.0
2,주거 도착형,lightgbm_regularized,bike_count_index_lag_2,-3.559166852462603e-05,0.0003831841235857336
2,주거 도착형,lightgbm_regularized,is_holiday_eve,-5.730408371662499e-05,9.612421985560893e-05
2,주거 도착형,lightgbm_regularized,month,-9.333476621653514e-05,9.092148974010339e-05
2,주거 도착형,lightgbm_regularized,weekday,-0.0001385471247629111,0.001025855864621783
2,주거 도착형,lightgbm_regularized,weekday_sin,-0.00014830950593414105,6.135466337842121e-05
2,주거 도착형,lightgbm_regularized,month_sin,-0.00015779523720671484,0.00024037284317390828
2,주거 도착형,lightgbm_regularized,qr_count,-0.00027163319848833023,0.0006651795970903374
2,주거 도착형,lightgbm_regularized,bike_index_rollmean_3,-0.00034674210488550017,0.00022255730959019893
2,주거 도착형,lightgbm_regularized,humidity,-0.00038758509528968865,0.001166111022338212
2,주거 도착형,lightgbm_regularized,weekofyear,-0.00044179856789861027,7.785193946152624e-05
2,주거 도착형,lightgbm_regularized,rain_x_commute,-0.0004588003171573929,0.00044556228803582787
2,주거 도착형,lightgbm_regularized,weekday_cos,-0.0006460449784874145,0.0004671528163900929
2,주거 도착형,lightgbm_regularized,bike_change_lag_1,-0.0007498183932040936,0.0004417150675594117
2,주거 도착형,lightgbm_regularized,bike_index_rollmean_168,-0.0009206981845994999,1.267677346739049e-05
2,주거 도착형,lightgbm_regularized,temp_x_commute,-0.00147983726888401,0.0009177955038954799
2,주거 도착형,lightgbm_regularized,bike_count_index_lag_1,-0.0017010840653876036,0.0006354152171924587
2,주거 도착형,lightgbm_regularized,bike_change_rollmean_3,-0.0018506522367566225,0.0018849605671628078
2,주거 도착형,lightgbm_regularized,return_count_lag_24,-0.0018592920801425716,0.0006851680725259435
2,주거 도착형,lightgbm_regularized,dock_total,-0.0025474475239033456,0.0006200187148941438
3,생활·상권 혼합형,lightgbm_balanced,bike_change_lag_24,0.011818607164723938,0.001996237218916952
3,생활·상권 혼합형,lightgbm_balanced,bike_change_lag_168,0.00829235383128557,4.154953941892803e-05
3,생활·상권 혼합형,lightgbm_balanced,bike_change_rollmean_24,0.006684630919248258,0.0022270706859900957
3,생활·상권 혼합형,lightgbm_balanced,bike_change_rollmean_168,0.0053528535326330395,0.0013335180075184638
3,생활·상권 혼합형,lightgbm_balanced,bike_change_rollstd_168,0.003373676471094267,0.00011272857670369119
3,생활·상권 혼합형,lightgbm_balanced,return_count_lag_1,0.0028729549263245002,0.0005528410751583501
3,생활·상권 혼합형,lightgbm_balanced,hour_sin,0.0025495757569707345,0.00045041086766167693
3,생활·상권 혼합형,lightgbm_balanced,humidity,0.0023623416952109344,0.00017039967968573988
3,생활·상권 혼합형,lightgbm_balanced,lon,0.002297324936355316,0.0009854534824392247
3,생활·상권 혼합형,lightgbm_balanced,rental_count_lag_1,0.002195677632140014,0.0018666814715646574
3,생활·상권 혼합형,lightgbm_balanced,hour_cos,0.002005444934297995,0.0019326146872797878
3,생활·상권 혼합형,lightgbm_balanced,dayofyear,0.0019143729561040823,0.00043795760830667163
3,생활·상권 혼합형,lightgbm_balanced,station_id,0.0018795995149598066,0.000946724776085095
3,생활·상권 혼합형,lightgbm_balanced,hour,0.001847906813916611,0.0022555888185492035
3,생활·상권 혼합형,lightgbm_balanced,dock_total,0.0017803033649101407,7.505308357630414e-05
3,생활·상권 혼합형,lightgbm_balanced,return_count_lag_24,0.0017295057458593388,5.9191533473834657e-05
3,생활·상권 혼합형,lightgbm_balanced,bike_change_lag_1,0.0013753329286588234,0.0009121518391548844
3,생활·상권 혼합형,lightgbm_balanced,bike_change_rollmean_3,0.0013423559151624076,0.001970270753534842
3,생활·상권 혼합형,lightgbm_balanced,bike_count_index_lag_24,0.0010403674149070952,0.00035094092848231284
3,생활·상권 혼합형,lightgbm_balanced,qr_count,0.0010255919325038998,0.0006091358133263891
3,생활·상권 혼합형,lightgbm_balanced,weekofyear,0.001009972248687041,4.29318130937828e-05
3,생활·상권 혼합형,lightgbm_balanced,lat,0.0010085914413287544,0.0007109516165632601
3,생활·상권 혼합형,lightgbm_balanced,bike_count_index_lag_168,0.0009823058386944639,0.0010922177345564221
3,생활·상권 혼합형,lightgbm_balanced,bike_change_rollstd_24,0.0007678278174247377,0.0004819960885125707
3,생활·상권 혼합형,lightgbm_balanced,lcd_count,0.0006555585449782297,7.534631484773513e-05
3,생활·상권 혼합형,lightgbm_balanced,month_sin,0.00057747397465302,0.0003235877604544912
3,생활·상권 혼합형,lightgbm_balanced,precipitation,0.0005187611604515752,0.00019465418400399503
